title,brand,category,price_gbp,mrp_gbp,discount_pct,rating,review_count,availability,detail_url,scraped_at
Slow States of Collapse: Poems,SimonSchuster,Self-Help,57.31,82.15,30.24,3,1113,In stock,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,2026-03-16 17:00:37
Reasons to Stay Alive,HarperCollins,Non-Fiction,26.41,35.01,24.56,2,775,In stock,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,2026-03-16 17:00:37
Private Paris (Private #10),Macmillan,Technology,47.61,54.37,12.43,5,341,In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,2026-03-16 17:00:37
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,HarperCollins,Non-Fiction,23.11,32.8,29.54,5,768,In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,2026-03-16 17:00:37
Without Borders (Wanderlove #1),Bloomsbury,History,45.07,47.93,5.97,2,304,In stock,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,2026-03-16 17:00:37
When We Collided,OxfordPress,Science,31.77,41.44,23.33,1,1031,In stock,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,2026-03-16 17:00:37
"We Love You, Charlie Freeman",Scholastic,Fiction,50.27,69.47,27.64,5,290,In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,2026-03-16 17:00:37
Untitled Collection: Sabbath Poems 2014,Bloomsbury,History,14.27,18.84,24.26,4,812,In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,2026-03-16 17:00:37
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",HachetteBook,Children,44.18,56.26,21.47,4,1640,In stock,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,2026-03-16 17:00:37
Unicorn Tracks,PenguinBooks,Science,18.78,23.89,21.39,3,1365,In stock,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,2026-03-16 17:00:37
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",HachetteBook,Self-Help,25.52,32.48,21.43,1,1150,In stock,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,2026-03-16 17:00:37
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Bloomsbury,Biography,16.28,23.2,29.83,1,1209,In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,2026-03-16 17:00:37
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Scholastic,Children,31.12,35.53,12.41,3,1604,In stock,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,2026-03-16 17:00:37
This One Summer,CambridgePress,History,19.49,28.45,31.49,4,1461,In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,2026-03-16 17:00:37
Thirst,SimonSchuster,Technology,17.27,22.53,23.35,5,799,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html,2026-03-16 17:00:37
The Torch Is Passed: A Harding Family Story,RandomHouse,Biography,19.09,27.9,31.58,1,1676,In stock,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,2026-03-16 17:00:37
The Secret of Dreadwillow Carse,CambridgePress,Science,56.13,61.16,8.22,1,1763,In stock,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,2026-03-16 17:00:37
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",SimonSchuster,Self-Help,56.41,73.32,23.06,1,334,In stock,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,2026-03-16 17:00:37
The Past Never Ends,Bloomsbury,Technology,56.5,74.39,24.05,4,1995,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,2026-03-16 17:00:37
The Natural History of Us (The Fine Art of Pretending #2),PenguinBooks,History,45.22,52.9,14.52,3,301,In stock,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,2026-03-16 17:00:37
The Nameless City (The Nameless City #1),HarperCollins,Non-Fiction,38.16,43.81,12.9,4,1244,In stock,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,2026-03-16 17:00:46
The Murder That Never Was (Forensic Instincts #5),Bloomsbury,Biography,54.11,59.38,8.88,3,1924,In stock,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,2026-03-16 17:00:46
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,SimonSchuster,Self-Help,42.96,63.23,32.06,4,891,In stock,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,2026-03-16 17:00:46
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",SimonSchuster,Science,23.89,35.54,32.78,4,1185,In stock,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,2026-03-16 17:00:46
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Scholastic,Non-Fiction,16.77,25.02,32.97,3,176,In stock,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,2026-03-16 17:00:46
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",SimonSchuster,Technology,20.59,29.73,30.74,5,460,In stock,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,2026-03-16 17:00:46
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Macmillan,Biography,37.13,51.54,27.96,1,1824,In stock,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,2026-03-16 17:00:46
The Electric Pencil: Drawings from Inside State Hospital No. 3,Macmillan,Children,56.06,80.25,30.14,1,1321,In stock,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,2026-03-16 17:00:46
The Death of Humanity: and the Case for Life,Bloomsbury,Biography,58.11,81.68,28.86,4,776,In stock,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,2026-03-16 17:00:46
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",RandomHouse,Fiction,49.05,69.74,29.67,3,1802,In stock,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,2026-03-16 17:00:46
The Art Forger,HarperCollins,Self-Help,40.76,44.07,7.51,3,1773,In stock,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,2026-03-16 17:00:46
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,HarperCollins,Self-Help,19.73,25.18,21.64,1,237,In stock,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,2026-03-16 17:00:46
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,PenguinBooks,Children,32.24,42.04,23.31,5,1979,In stock,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,2026-03-16 17:00:46
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Macmillan,Technology,41.83,47.21,11.4,4,964,In stock,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,2026-03-16 17:00:46
Soul Reader,CambridgePress,Self-Help,39.58,54.34,27.16,2,350,In stock,https://books.toscrape.com/catalogue/soul-reader_926/index.html,2026-03-16 17:00:46
Security,Scholastic,Fiction,39.25,50.24,21.88,2,620,In stock,https://books.toscrape.com/catalogue/security_925/index.html,2026-03-16 17:00:46
"Saga, Volume 6 (Saga (Collected Editions) #6)",HarperCollins,Technology,25.02,31.84,21.42,3,184,In stock,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,2026-03-16 17:00:46
"Saga, Volume 5 (Saga (Collected Editions) #5)",SimonSchuster,History,51.04,71.5,28.62,2,442,In stock,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,2026-03-16 17:00:46
Reskilling America: Learning to Labor in the Twenty-First Century,Bloomsbury,Non-Fiction,19.83,27.16,26.99,2,1570,In stock,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2026-03-16 17:00:46
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",OxfordPress,Science,50.4,74.7,32.53,3,61,In stock,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,2026-03-16 17:00:46
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",PenguinBooks,Biography,13.61,19.55,30.38,5,837,In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,2026-03-16 17:00:54
Princess Between Worlds (Wide-Awake Princess #5),Scholastic,Science,13.34,16.85,20.83,5,1215,In stock,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,2026-03-16 17:00:54
"Pop Gun War, Volume 1: Gift",RandomHouse,History,18.97,25.75,26.33,1,1190,In stock,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,2026-03-16 17:00:54
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",HarperCollins,Fiction,36.28,52.59,31.01,2,607,In stock,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2026-03-16 17:00:54
Patience,HarperCollins,Non-Fiction,10.16,11.04,7.97,3,1346,In stock,https://books.toscrape.com/catalogue/patience_916/index.html,2026-03-16 17:00:54
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Bloomsbury,Fiction,15.44,18.72,17.52,4,1938,In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,2026-03-16 17:00:54
orange: The Complete Collection 1 (orange: The Complete Collection #1),Bloomsbury,Self-Help,48.41,65.48,26.07,1,1873,In stock,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,2026-03-16 17:00:54
Online Marketing for Busy Authors: A Step-By-Step Guide,RandomHouse,Biography,46.35,57.21,18.98,1,1212,In stock,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,2026-03-16 17:00:54
On a Midnight Clear,CambridgePress,Biography,14.07,19.1,26.34,3,864,In stock,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,2026-03-16 17:00:54
Obsidian (Lux #1),Macmillan,Biography,14.86,19.84,25.1,2,611,In stock,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,2026-03-16 17:00:54
My Paris Kitchen: Recipes and Stories,Bloomsbury,Children,33.37,45.84,27.2,2,1606,In stock,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,2026-03-16 17:00:54
Masks and Shadows,SimonSchuster,Self-Help,56.4,61.23,7.89,2,1161,In stock,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,2026-03-16 17:00:54
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",CambridgePress,Technology,14.02,15.24,8.01,4,495,In stock,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,2026-03-16 17:00:54
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",HarperCollins,Fiction,46.91,65.07,27.91,2,1476,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2026-03-16 17:00:54
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Macmillan,Science,45.61,50.57,9.81,3,1350,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,2026-03-16 17:00:54
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),HarperCollins,Self-Help,19.92,24.48,18.63,2,146,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2026-03-16 17:00:54
"Layered: Baking, Building, and Styling Spectacular Cakes",RandomHouse,Technology,40.11,53.4,24.89,1,577,In stock,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,2026-03-16 17:00:54
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Macmillan,Self-Help,53.9,60.83,11.39,2,843,In stock,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2026-03-16 17:00:54
Join,SimonSchuster,Children,35.67,42.21,15.49,5,1114,In stock,https://books.toscrape.com/catalogue/join_902/index.html,2026-03-16 17:00:54
In the Country We Love: My Family Divided,PenguinBooks,Non-Fiction,22.0,32.97,33.27,4,765,In stock,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,2026-03-16 17:00:54
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Bloomsbury,Non-Fiction,57.36,78.39,26.83,5,534,In stock,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,2026-03-16 17:01:00
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",SimonSchuster,Biography,29.17,40.93,28.73,2,1954,In stock,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,2026-03-16 17:01:00
I am a Hero Omnibus Volume 1,HarperCollins,Children,54.63,74.33,26.5,3,656,In stock,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,2026-03-16 17:01:00
How to Be Miserable: 40 Strategies You Already Use,RandomHouse,Fiction,46.03,52.69,12.64,1,822,In stock,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,2026-03-16 17:01:00
Her Backup Boyfriend (The Sorensen Family #1),CambridgePress,Biography,33.97,38.25,11.19,1,920,In stock,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,2026-03-16 17:01:00
"Giant Days, Vol. 2 (Giant Days #5-8)",SimonSchuster,Technology,22.11,26.94,17.93,2,204,In stock,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,2026-03-16 17:01:00
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,SimonSchuster,Biography,29.69,35.8,17.07,3,259,In stock,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,2026-03-16 17:01:00
First and First (Five Boroughs #3),OxfordPress,Fiction,15.97,17.61,9.31,4,1571,In stock,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,2026-03-16 17:01:00
Fifty Shades Darker (Fifty Shades #2),HachetteBook,Fiction,21.96,30.52,28.05,1,1137,In stock,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,2026-03-16 17:01:00
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,SimonSchuster,Science,54.35,78.46,30.73,2,713,In stock,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,2026-03-16 17:01:00
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",HarperCollins,Non-Fiction,37.97,52.01,26.99,2,1697,In stock,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,2026-03-16 17:01:00
Danganronpa Volume 1,CambridgePress,Fiction,51.99,74.02,29.76,4,497,In stock,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,2026-03-16 17:01:00
Crown of Midnight (Throne of Glass #2),HachetteBook,Fiction,43.29,51.96,16.69,3,368,In stock,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,2026-03-16 17:01:00
"Codename Baboushka, Volume 1: The Conclave of Death",CambridgePress,Fiction,36.72,54.24,32.3,4,1446,In stock,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,2026-03-16 17:01:00
Camp Midnight,Scholastic,Self-Help,17.08,24.2,29.42,4,479,In stock,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,2026-03-16 17:01:00
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,CambridgePress,Technology,29.14,42.59,31.58,5,233,In stock,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,2026-03-16 17:01:00
Burning,HarperCollins,Self-Help,28.81,39.56,27.17,3,1011,In stock,https://books.toscrape.com/catalogue/burning_884/index.html,2026-03-16 17:01:00
Bossypants,Scholastic,Technology,49.46,70.94,30.28,2,1167,In stock,https://books.toscrape.com/catalogue/bossypants_883/index.html,2026-03-16 17:01:00
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Scholastic,Biography,37.92,53.12,28.61,2,1005,In stock,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,2026-03-16 17:01:00
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",CambridgePress,History,28.09,40.67,30.93,2,1954,In stock,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,2026-03-16 17:01:00
Algorithms to Live By: The Computer Science of Human Decisions,HachetteBook,Children,30.81,42.1,26.82,1,1357,In stock,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,2026-03-16 17:01:05
A World of Flavor: Your Gluten Free Passport,Scholastic,Children,42.95,46.21,7.05,1,475,In stock,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,2026-03-16 17:01:05
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Bloomsbury,Non-Fiction,56.76,65.78,13.71,5,976,In stock,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,2026-03-16 17:01:05
